Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
1.0,4.08,135,linhigh,0.04653392737152658,0.2830584262474028,0.17644334883322907,0.1724030124280188,1.1967947752454733,0.7271502322591689
1.0,4.08,180,linhigh,0.05802704681256866,0.851803682275993,4.296117492209752e-05,0.21078579023535604,3.8392118965465327,0.00019472794107830687
1.0,4.58,0,linhigh,0.08243241215567541,0.8953368424123048,7.255923954744057e-05,0.30018999271039615,3.1916299158707013,0.0003095985881289482
1.0,4.58,45,linhigh,0.08951021513031024,0.3952718038298292,0.6210991619862886,0.3131774512590082,1.3838401217874194,2.427548784663589
1.0,4.58,90,linhigh,0.08271284415095823,0.4166374943521673,0.37054602091128674,0.26372916507058675,1.5351086161136793,1.4239174354733684
1.0,4.58,135,linhigh,0.08477795141607024,0.2917769310886068,0.20180100518000677,0.31574562565154496,1.1819470832914551,0.8202886204578573
1.0,4.58,180,linhigh,0.09759284620197628,0.9638677284132344,8.031646390765792e-05,0.35143815239215337,3.6897777102871885,0.0003263962124024826
2.0,3.58,0,linhigh,0.05188604413797675,1.4173118834312106,7.363434834037629e-05,0.21713329628772204,5.515702129013851,0.0005289528506943508
2.0,3.58,45,linhigh,0.04426637469390863,0.6081918362661651,0.8412089223182183,0.16634498129840247,2.6997334937122472,3.6642893408222146
2.0,3.58,90,linhigh,0.031036202814440788,0.42358223342416584,0.614347718814353,0.11714846131647072,1.7424398508215218,2.798009455147572
2.0,3.58,135,linhigh,0.046524005739165514,0.5133648199327673,0.3261389968858351,0.1771485796184451,2.211571023919988,1.385662492851127
2.0,3.58,180,linhigh,0.06256507326314216,1.4462586331152827,6.565065421285607e-05,0.24685682489198668,6.124890240759495,0.00048568970764333984
2.0,4.08,0,linhigh,0.08723158753074861,1.6209147747797088,8.969234557321532e-05,0.30161999263697203,7.118100974920125,0.0004599646029289149
2.0,4.08,45,linhigh,0.08977888649046971,0.7150956035191831,1.0606631897965624,0.29677212198244196,3.6264201166248937,4.867902189242347
2.0,4.08,90,linhigh,0.07556231418437699,0.6323575245541567,0.6713447602933343,0.24918910708306008,2.9698251504919404,2.518118525312599
2.0,4.08,135,linhigh,0.08747056023177456,0.5632792958294307,0.36469904857894664,0.3139267905525587,2.5486412692278515,1.5535622304359649
2.0,4.08,180,linhigh,0.10902547060625595,1.717539673100048,9.239810370216992e-05,0.3729979421579176,7.925324090252057,0.0004950188048436501
