filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,std Z,std pitch,std roll,max Z,max pitch,max roll,mean Z,mean pitch,mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_298_H1_T408_dir90_DOFbest.yml,1,4.08,2.8936,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.04660165829207326,0.3204458953441105,0.3334834653059265,-0.7908027172088623,1.7319748237395036,1.2807704994560514,-0.939396910863894,0.30319203270698003,-0.0035214373853436997,-0.7578741622703522,1.5658031453175192,1.3336479639670578
ymlfiles\Case_299_H1_T408_dir135_DOFbest.yml,1,4.08,2.8936,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.04981772759027984,0.2838714078847921,0.17692323248252392,-0.7546547055244446,1.4996132822795507,0.7291063654778766,-0.9388292090981095,0.30585086675489,-0.0014756366260434948,-0.7437658719991379,1.4404033739215611,0.7077195862668763
ymlfiles\Case_300_H1_T408_dir180_DOFbest.yml,1,4.08,2.8936,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.06158668969271624,0.8542518287022315,4.679278549419355e-05,-0.7162805795669556,4.140635698459211,-0.0018589945644036548,-0.9396879339576871,0.3056389949538779,-0.0020478477702349086,-0.6981430853530205,3.706154953315324,-0.0018640129589829546
ymlfiles\Case_301_H1_T458_dir0_DOFbest.yml,1,4.58,3.2482,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0876282962636418,0.8992866324946375,7.842006614270615e-05,-0.6230893731117249,3.5113964103221473,-0.0017170861702798996,-0.9387238045257551,0.3075610216814747,-0.0020498549337311825,-0.5975614844393513,3.8714349938624406,-0.0017424358077823428
ymlfiles\Case_302_H1_T458_dir45_DOFbest.yml,1,4.58,3.2482,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.09560496357097911,0.39802491806311807,0.6245773071581465,-0.6087363362312317,1.6952692804181493,2.4511828577278565,-0.9386570632877174,0.3120001425761328,-0.001155064532224914,-0.5671296528058104,1.8873206409425074,2.463636987337802
ymlfiles\Case_303_H1_T458_dir90_DOFbest.yml,1,4.58,3.2482,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.08847568884934287,0.41918582351486744,0.37290683224389853,-0.6590172052383423,1.8513558582607483,1.4295313792486946,-0.9389223182852622,0.3027399146711657,-0.005133626949095166,-0.5957297660846638,1.9475036358366076,1.476740237465435
ymlfiles\Case_304_H1_T458_dir135_DOFbest.yml,1,4.58,3.2482,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.09067865681403615,0.29321102092959556,0.20304101777537206,-0.6057343482971191,1.503052922856887,0.8248529711193203,-0.9383801008645031,0.30666928048818654,-0.0019492884807070095,-0.585953543140741,1.473793932431982,0.80406014917223
ymlfiles\Case_305_H1_T458_dir180_DOFbest.yml,1,4.58,3.2482,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.10381808782854701,0.9692954380807456,8.632443436587618e-05,-0.5698933005332947,4.0255598175491905,-0.0017049179156329141,-0.9391093598267546,0.3053718911395097,-0.002049116105988751,-0.5347741050009032,4.141105939022082,-0.0017124631097862428
ymlfiles\Case_306_H2_T358_dir0_DOFbest.yml,2,3.58,2.539,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.05325964885756826,1.4198942519821833,7.436940418374705e-05,-0.7215064764022827,5.827835857424931,-0.0015598932268562574,-0.9426849941418127,0.3029958346938884,-0.00203674083279842,-0.7315673906666585,5.987683306540034,-0.0017419103383177039
ymlfiles\Case_307_H2_T358_dir45_DOFbest.yml,2,3.58,2.539,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.045876902189996675,0.6096896085504745,0.8431330814078039,-0.7706820964813232,3.0146958758121225,3.6798143611026752,-0.9420735575363592,0.30906365359066734,0.004340404077666155,-0.7606301798918759,2.7472714706107926,3.367397843794792
