sea_key,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,response,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_10,linhigh,low,low,roll,ok,-0.0030542761581834883,0.026491497142168145,0.026666983775521957,0.06426152131105424,0.12376192719304019,0.061880963596520094,-0.06426152131105424,0.05950040588198594
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_11,linhigh,low,linhigh,heave,ok,-0.3888132999413943,1.162452617542683,1.2257535927922674,2.394763469696045,3.515921711921692,1.757960855960846,-2.394763469696045,1.121158242225647
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_11,linhigh,low,linhigh,pitch,ok,-0.6970009530011714,9.808679464586028,9.83341259011724,14.25393800059889,27.907883156199887,13.953941578099943,-14.25393800059889,13.653945155600995
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_11,linhigh,low,linhigh,roll,ok,-0.0027733072682200417,0.01248769951185633,0.012791945602697774,0.03481355424083433,0.06287918507154687,0.031439592535773435,-0.03481355424083433,0.028065630830712545
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_12,linhigh,low,quadhigh,heave,ok,-0.388790496747671,1.1624415158870742,1.2257358313352595,2.394767999649048,3.516108512878418,1.758054256439209,-2.394767999649048,1.1213405132293701
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_12,linhigh,low,quadhigh,pitch,ok,-0.6969862941657458,9.810369710742126,9.835097546832031,14.251324599467713,27.90678008064893,13.953390040324464,-14.251324599467713,13.655455481181216
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_12,linhigh,low,quadhigh,roll,ok,-0.0022302997082857445,0.015176231232522814,0.015339238286557137,0.034408622073619756,0.06753679045116708,0.03376839522558354,-0.034408622073619756,0.03312816837754732
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_13,linhigh,linhigh,low,heave,ok,-0.38963945794040705,1.1657368891134172,1.2291303437080712,2.3891541957855225,3.504188060760498,1.752094030380249,-2.3891541957855225,1.1150338649749756
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_13,linhigh,linhigh,low,pitch,ok,-0.6231161170109124,9.005282617430773,9.026814981768464,13.125249240254282,25.66029841923318,12.83014920961659,-13.125249240254282,12.535049178978895
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_13,linhigh,linhigh,low,roll,ok,-0.00041304746056657613,0.018462495866280404,0.01846711568754313,0.04855338355576081,0.08744622492269227,0.043723112461346136,-0.03889284136693147,0.04855338355576081
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_14,linhigh,linhigh,linhigh,heave,ok,-0.3896970497982566,1.1658009304042252,1.2292093393530745,2.3890068531036377,3.504174828529358,1.752087414264679,-2.3890068531036377,1.1151679754257202
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_14,linhigh,linhigh,linhigh,pitch,ok,-0.6232428926649376,9.004943309603835,9.026485235817773,13.1216463154671,25.654759135816295,12.827379567908148,-13.1216463154671,12.533112820349196
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_14,linhigh,linhigh,linhigh,roll,ok,-0.0005057268944155149,0.01335607283517946,0.01336564406492833,0.034780093651018536,0.06312576557275491,0.03156288278637746,-0.028345671921736374,0.034780093651018536
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_15,linhigh,linhigh,quadhigh,heave,ok,-0.3896824737801878,1.165777668757624,1.2291826566240702,2.389155626296997,3.5040329694747925,1.7520164847373962,-2.389155626296997,1.1148773431777954
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_15,linhigh,linhigh,quadhigh,pitch,ok,-0.6230642425227887,9.00503874392796,9.026568109195994,13.121397867336041,25.650872758178558,12.825436379089279,-13.121397867336041,12.529474890842518
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_15,linhigh,linhigh,quadhigh,roll,ok,-0.0008363050945784307,0.018037205800353864,0.01805658326748272,0.041675920005140185,0.07921040083077877,0.03960520041538938,-0.041675920005140185,0.03753448082563857
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_16,linhigh,quadhigh,low,heave,ok,-0.38971854104280684,1.1662983569004615,1.2296879272975116,2.3885347843170166,3.5015196800231934,1.7507598400115967,-2.3885347843170166,1.1129848957061768
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_16,linhigh,quadhigh,low,pitch,ok,-0.6321093471508605,8.909862297104018,8.932256623055073,12.957955709365867,25.258352031861683,12.629176015930842,-12.957955709365867,12.300396322495814
