filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_331_H2_T5_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,5.0,3.876,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.15672459923141557,0.5801337509471207,0.41259559092113457,-0.15945947655665574,0.6651461406159689,0.011404622112840036,0.4471141829131936,2.9361705500298125,1.6522435648235814
ymlfiles\Case_332_H2_T5_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,5.0,3.876,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.15212175795837218,0.5750881288982507,0.4079229458044602,-0.15950501524432945,0.6653616046110159,0.011258319643296719,0.4292981101764999,2.9170483084033045,1.6341900263248785
ymlfiles\Case_333_H2_T5_dir135_heavelow_pitchlow_rolllow.yml,2,5.0,3.876,135,low,low,low,1.0,1.0,100,300.0,150,200,0.16051454219006234,0.5078131001851459,0.2902421765395689,-0.15794228085940415,0.692976724365387,0.021874193464708196,0.4638055812111284,2.702708092257798,1.168523994993037
ymlfiles\Case_334_H2_T5_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,5.0,3.876,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.14732900407097443,0.4980962457227751,0.2838158127329946,-0.15805809773797633,0.6931186771799052,0.021581854410906123,0.4127620215128198,2.6651941113152056,1.143601659376227
ymlfiles\Case_335_H2_T5_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,5.0,3.876,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.158672233166529,0.5064273355014737,0.2897529057737508,-0.15796826394598726,0.6930147072938679,0.021818121233663227,0.4566660868200265,2.697464930525581,1.1665050229755078
ymlfiles\Case_336_H2_T5_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,5.0,3.876,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.1539783904135669,0.5021126245917709,0.2861305953753022,-0.15800237271040035,0.6930296415052161,0.021773067525264554,0.4384937108269093,2.6807060419326674,1.1526509278962367
ymlfiles\Case_337_H2_T5_dir180_heavelow_pitchlow_rolllow.yml,2,5.0,3.876,180,low,low,low,1.0,1.0,100,300.0,150,200,0.19225368859859662,1.6277031855106168,0.0002850333067090153,-0.1609627964911649,0.6962038742048046,-0.0023519004166480104,0.5854992454122185,7.11197857240896,-0.0012545053529935588
ymlfiles\Case_338_H2_T5_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,5.0,3.876,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.1775983593851711,1.601023174672579,0.00015130920828741588,-0.1613626329704395,0.6969341129894308,-0.0023548744298236587,0.5283917775173342,7.009091123825334,-0.001772396437185623
ymlfiles\Case_339_H2_T5_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,5.0,3.876,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.18968239570018963,1.61796243648527,0.00016224474821148227,-0.16111500930563258,0.6964436229888926,-0.002355305462690591,0.5753895117259313,7.07434507195439,-0.001730551757872463
ymlfiles\Case_340_H2_T5_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,5.0,3.876,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.1847807918582768,1.6091533104380873,0.00021335405730037055,-0.16119613999654564,0.6964509803389767,-0.0023827104888134924,0.5563775324737237,7.039800001718199,-0.0015624393489088316
